Identifiant arc,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Identifiant noeud aval,geo_point_2d,heure,jour_semaine,is_weekend,lat,lon
5719,2025-05-09 09:00:00+00:00,235.0,1.84611,Fluide,2993,2994,"48.833710572584764, 2.308623549406665",9,4,0,48.833710572584764,2.308623549406665
6556,2025-06-04 22:00:00+00:00,335.0,11.40111,Fluide,3398,2580,"48.88801961515594, 2.38994883703183",22,2,0,48.88801961515594,2.38994883703183
1481,2025-08-26 11:00:00+00:00,93.0,2.30389,Fluide,787,786,"48.879729191549515, 2.400686875064716",11,1,0,48.879729191549515,2.400686875064716
522,2025-10-09 15:00:00+00:00,1190.0,14.24334,Fluide,307,308,"48.86397460512845, 2.3513026241315576",15,3,0,48.86397460512845,2.3513026241315576
5932,2025-12-02 05:00:00+00:00,233.0,2.3,Fluide,2062,3082,"48.88390993151407, 2.3315402505190486",5,1,0,48.88390993151407,2.3315402505190486
6161,2024-12-05 10:00:00+00:00,706.0,17.56389,Pré-saturé,3195,2416,"48.85649211589322, 2.286121573189832",10,3,0,48.85649211589322,2.286121573189832
5095,2025-01-06 08:00:00+00:00,316.0,11.33278,Fluide,2690,2689,"48.83582700334228, 2.3700747334324723",8,0,0,48.83582700334228,2.3700747334324723
4844,2025-03-10 20:00:00+00:00,405.0,14.30111,Fluide,2580,2581,"48.887455517678035, 2.3877553012294106",20,0,0,48.887455517678035,2.3877553012294106
5679,2025-05-09 12:00:00+00:00,170.0,20.87666,Pré-saturé,2975,2974,"48.836121844579125, 2.300263040684597",12,4,0,48.836121844579125,2.300263040684597
5369,2025-07-23 20:00:00+00:00,3000.0,10.8,Fluide,918,915,"48.90072530781521, 2.371325565298014",20,2,0,48.90072530781521,2.371325565298014
4012,2025-08-05 06:00:00+00:00,58.0,1.73834,Fluide,2037,2038,"48.890857852067256, 2.3196232537948633",6,1,0,48.890857852067256,2.3196232537948633
4226,2025-09-02 11:00:00+00:00,493.0,7.94,Fluide,2269,2261,"48.87492165108901, 2.3054470290446014",11,1,0,48.87492165108901,2.3054470290446014
1916,2025-10-10 22:00:00+00:00,802.0,10.24333,Fluide,2061,2062,"48.88425703260311, 2.330090277596609",22,4,0,48.88425703260311,2.330090277596609
4787,2025-11-04 18:00:00+00:00,221.0,8.23556,Fluide,3052,2549,"48.8382719906119, 2.356332138570039",18,1,0,48.8382719906119,2.356332138570039
5934,2025-12-02 06:00:00+00:00,469.0,5.55,Fluide,3082,3083,"48.88369029569291, 2.332441379660131",6,1,0,48.88369029569291,2.332441379660131
5480,2025-04-03 21:00:00+00:00,2089.0,11.0,Fluide,2834,2878,"48.86502514208155, 2.4146329329640106",21,3,0,48.86502514208155,2.4146329329640106
6556,2025-06-04 21:00:00+00:00,412.0,15.9,Pré-saturé,3398,2580,"48.88801961515594, 2.38994883703183",21,2,0,48.88801961515594,2.38994883703183
1495,2025-08-26 10:00:00+00:00,106.0,0.42889,Fluide,796,787,"48.88194750362747, 2.400022229952983",10,1,0,48.88194750362747,2.400022229952983
522,2025-10-09 18:00:00+00:00,1257.0,14.26778,Fluide,307,308,"48.86397460512845, 2.3513026241315576",18,3,0,48.86397460512845,2.3513026241315576
5932,2025-12-02 06:00:00+00:00,469.0,5.01389,Fluide,2062,3082,"48.88390993151407, 2.3315402505190486",6,1,0,48.88390993151407,2.3315402505190486
6167,2024-12-05 10:00:00+00:00,295.0,1.41722,Fluide,3196,291,"48.84734648232724, 2.3600781653456124",10,3,0,48.84734648232724,2.3600781653456124
