COMMUNE;CODE INSEE;TYPE INFRASTRUCTURE;NUMERO RD;ADRESSE COMPTEUR;LIMITATION DE VITESSE;TYPE DE COMPTAGE;TYPE COMPTEUR;MOIS DU COMPTAGE;ANNEE DU COMPTAGE;PERIODICITE;SENS 1_ORIGINE;SENS 1_DESTINATION;S2_ORIGINE;S2_DESTINATION;TMJA_SENS 1;TMJA_SENS 2;TMJO_SENS 1;TMJO_SENS 2;TRAFIC_HPM_SENS 1;HORAIRE HPM_SENS 1;TRAFIC HPM_SENS 2;HORAIRE HPM_SENS 2;TRAFIC HPS_SENS 1;HORAIRE HPS_SENS 1;T_HPS_SENS 2;HPS_SENS 2;% POIDS LOURDS SENS 1;% POIDS LOURDS SENS 2;TMJA;LONGUEUR;geo_shape;geo_point_2d
Antony;92002;Réseau départemental non classé à grande circulation;RD67A;18 avenue Armand Guillebaud;50 km/h;Comptage automatique en section;Tubes;Décembre;2023;Triennale;Département 94;Département 91;Département 91;Département 94;4595.0;3205.0;4825.0;3367.0;313.0;08h00-09h00;225.0;08h00-09h00;378.0;18h00-19h00;279.0;18h00-19h00;5.61;2.68;7800.0;1090.7203990981343;"{""coordinates"": [[2.3162604060287033, 48.74422368779815], [2.316121101582855, 48.74437219704937], [2.315933632898543, 48.74456360391368], [2.3157002962075652, 48.74483030100853], [2.315540694055967, 48.74497059894116], [2.315434984099714, 48.74507012964062], [2.3144254246391918, 48.74586981521772], [2.31421860816724, 48.74601715991385], [2.3139231367918494, 48.74620031968078], [2.3136495991554766, 48.7463378861815], [2.313224401759694, 48.746534920589355], [2.312280154125483, 48.74697560849475], [2.311208794429623, 48.747462327157976], [2.3109586589643034, 48.74755622506457], [2.3106909503299815, 48.747641925488296], [2.310413863312831, 48.747716778595574], [2.310139529529267, 48.74778894774611], [2.309508164611073, 48.74791301905312], [2.309044539754403, 48.748002979887104], [2.3087335318679725, 48.74807133565302], [2.308417894026683, 48.74818103892999], [2.307424627681016, 48.74862050518542], [2.306991031389929, 48.74880417370706], [2.3068911175549927, 48.74885126375148], [2.3068185349004247, 48.748888619639786], [2.3063866531539974, 48.749045312252534], [2.3061200744081867, 48.74914719896804], [2.3060367181569768, 48.74917639602373], [2.3057333686363544, 48.749281665937865], [2.3053919368880993, 48.749386714529216], [2.3049892423100484, 48.749495901452235], [2.3045946942312496, 48.74960603476902], [2.3043136392691634, 48.74967095550533]], ""type"": ""LineString""}";48.747401862543335, 2.310537493666904
Clamart, Issy-les-Moulineaux;92023, 92040;Réseau départemental non classé à grande circulation;RD72;17 avenue de la Paix;50 km/h;Comptage automatique en section;Tubes;Septembre;2023;Triennale;Châtillon;Issy-les-Moulineaux;Issy-les-Moulineaux;Châtillon;1609.0;1314.0;1756.0;1443.0;183.0;08h00-09h00;176.0;08h00-09h00;187.0;18h00-19h00;129.0;17h00-18h00;3.06;1.89;2923.0;1466.4097958633058;"{""coordinates"": [[2.2737592383948315, 48.81734107627324], [2.272751260772403, 48.81793844045435], [2.271946693117677, 48.818402127013144], [2.2717281980723305, 48.81855201623699], [2.2714974389437503, 48.81868618684159], [2.27124149062898, 48.81881781764186], [2.2710147806342795, 48.81892107912471], [2.2709036308500585, 48.81897317920426], [2.270532885252524, 48.819091436422475], [2.270371569619301, 48.81913452189312], [2.269696638307133, 48.81928599623174], [2.26950822443925, 48.81931902185567], [2.2694031224862115, 48.819335468458625], [2.2692229666114963, 48.81936224799294], [2.2686803061921554, 48.819404799404246], [2.268114554749636, 48.81944270992632], [2.267029279250053, 48.819524201763464], [2.2665711643326425, 48.81955916748771], [2.2662452868463356, 48.81958504944926], [2.2660536573118777, 48.81955599234265], [2.2657356159951507, 48.81950906969339], [2.265349621573468, 48.81945183621534], [2.2650534214330214, 48.819401449371625], [2.264670431510125, 48.81932444453099], [2.264461353779562, 48.81927728985192], [2.2639562686105448, 48.819166255265856], [2.263820553961561, 48.81913214195631], [2.2637067676970513, 48.81908827074948], [2.2635748312725372, 48.818979531233595], [2.2619535915813462, 48.81776435154895], [2.261664453828427, 48.81755712934723], [2.261480589914132, 48.81742927818544], [2.261389504657281, 48.81737515314985], [2.2613018912186065, 48.817329974553374], [2.261206276829301, 48.817277605465065], [2.260654141333007, 48.81691179480227], [2.26012894908369, 48.81658836202145], [2.259828615412786, 48.81635086209808], [2.25933849997552, 48.81595569213193], [2.259102708715447, 48.815777050975775], [2.2589155450901774, 48.81562659176241], [2.258803773039487, 48.81553775770945], [2.258795678679361, 48.815532311240645], [2.258677263382255, 48.815431744528425], [2.258527874308453, 48.81530670185796], [2.2584495831587215, 48.815257649230155], [2.258390076433088, 48.81522849975079], [2.2583603231028717, 48.81521392454987], [2.258319738897952, 48.81519478542636], [2.2582532950343874, 48.81517458637067], [2.2579587814835325, 48.81510350604282], [2.2576181625285905, 48.81501864689849]], ""type"": ""LineString""}";48.8181529952212, 2.265521690199859
Issy-les-Moulineaux;92040;Réseau départemental non classé à grande circulation;RD76;boulevard Garibaldi;50 km/h;Comptage automatique en section;Tubes;;2012;Triennale;Paris;Province;Province;Paris;3783.0;5901.0;4329.0;5901.0;135.0;08h00-09h00;561.0;08h00-09h00;529.0;18h00-19h00;433.0;19h00-20h00;2.92;2.92;9684.0;336.229070944505;"{""coordinates"": [[2.2624988282614242, 48.82396567317578], [2.2624981563938533, 48.823758060613], [2.262480525059221, 48.823633736356406], [2.262336797832046, 48.82302364688315], [2.2622285292399527, 48.82271005489517], [2.262148280980874, 48.8225310766511], [2.2619228543994505, 48.82212868021469], [2.261620445438227, 48.82171746094698], [2.261418277431192, 48.82148574477027], [2.2611152459512134, 48.821125709899576]], ""type"": ""LineString""}";48.822464926176586, 2.2619872760638926
Bagneux;92007;Réseau départemental non classé à grande circulation;RD68;14ter avenue du Général de Gaulle;50 km/h;Comptage automatique en section;Tubes;Septembre;2023;Triennale;Département 94;Meudon;Meudon;Département 94;3527.0;3124.0;3770.0;3395.0;422.0;08h00-09h00;240.0;08h00-09h00;245.0;18h00-19h00;318.0;17h00-18h00;5.23;6.47;6651.0;386.1923257203683;"{""coordinates"": [[2.2992539406298325, 48.79693961715642], [2.2990149295811717, 48.79706712151629], [2.2988237918899332, 48.79715281477799], [2.2987513645848394, 48.79718092783562], [2.2985004147158907, 48.79724968603083], [2.297631382772251, 48.79748652190498], [2.2971476687820984, 48.797618588886635], [2.296878415829325, 48.79769705243591], [2.2966952989886606, 48.797748140470844], [2.2966625068417232, 48.797756941285265], [2.296557214885768, 48.7977913981251], [2.2964656681107, 48.79781604265265], [2.296307175497592, 48.79785828110655], [2.296177378724033, 48.797892593826965], [2.2959792745967484, 48.7979444918698], [2.2958481049113053, 48.79797969515246], [2.2957825312593587, 48.79799639791293], [2.2956158702691605, 48.79803858715791], [2.2955065777266346, 48.7980667240143], [2.295168902381425, 48.7981708621192], [2.2950855467679783, 48.79819375531206], [2.2947466182025793, 48.79828979130576], [2.2945850596453714, 48.79835719199792], [2.2944923232251977, 48.798383036378546]], ""type"": ""LineString""}";48.797690781412975, 2.296884963981966
Colombes, Nanterre;92025, 92050;Réseau départemental non classé à grande circulation;RD986;403 avenue de la République;50 km/h;Comptage automatique en section;Tubes;Mars;2022;Triennale;Nanterre;Colombes;Colombes;Nanterre;3273.0;3285.0;3468.0;3481.0;147.0;08h00-09h00;258.0;08h00-09h00;325.0;17h00-18h00;223.0;18h00-19h00;6.28;5.73;6558.0;1094.0175523568612;"{""coordinates"": [[2.2164653046610985, 48.909192509185566], [2.2168125220285413, 48.90932877815747], [2.217230003485856, 48.90951047265585], [2.2175622199798033, 48.90964664186821], [2.218311980917895, 48.90996090368968], [2.2184489295107794, 48.9100175544047], [2.218849038820271, 48.91017574762065], [2.21919075774251, 48.91031557117298], [2.220287235699671, 48.91080205072868], [2.2204147203095674, 48.910853242558986], [2.2204960628160286, 48.910887946438855], [2.2207170064591244, 48.9109847113205], [2.2212918804566626, 48.911226769826804], [2.2216010191625015, 48.91135648208665], [2.2216810130258393, 48.91139027666222], [2.2221663783177203, 48.911596675869646], [2.222961256810419, 48.91190850193762], [2.2233014335582184, 48.91206179367088], [2.2235522808693817, 48.91216684153744], [2.2236729633837773, 48.912217086307656], [2.223773303078149, 48.912259105197236], [2.224192276758033, 48.91243538807159], [2.2243278744643, 48.91249202348448], [2.224649226771084, 48.91262720302006], [2.2256948582334815, 48.913053048462345], [2.2257680345888007, 48.913086796118726], [2.2258465750352334, 48.91312687424961], [2.225998360486867, 48.91319620270563], [2.226398329889546, 48.91336695907892], [2.2270003828928804, 48.91361995604789], [2.227348808633784, 48.91377059117816], [2.2276037118805427, 48.913879253740106], [2.2279329875729035, 48.91403336049386], [2.2280874393568726, 48.91410720071082], [2.228201270451362, 48.91416009455262], [2.228995213243295, 48.914533610676166]], ""type"": ""LineString""}";48.91183174087352, 2.2227439998376024
Issy-les-Moulineaux;92040;Réseau départemental non classé à grande circulation;RD989;144 avenue de Verdun;30 km/h;Comptage automatique en section;Tubes;Mars;2023;Triennale;Paris;Meudon;Meudon;Paris;3797.0;3701.0;3945.0;3936.0;271.0;08h00-09h00;400.0;08h00-09h00;323.0;18h00-19h00;332.0;17h00-18h00;4.11;5.2;7498.0;894.209998059691;"{""coordinates"": [[2.2601463053455824, 48.82083629245596], [2.259960670920674, 48.82076858925507], [2.2595268848373657, 48.82062380021713], [2.2587389533159796, 48.82038507696991], [2.2577530404060933, 48.82008576012129], [2.2572715491544995, 48.819944263530076], [2.2571168224135154, 48.819906427472766], [2.256178631105119, 48.819604695631284], [2.255939958345953, 48.81953215943497], [2.255123627934172, 48.81928154304158], [2.254377800973693, 48.8190538455648], [2.2540402966541437, 48.818940215328176], [2.252830497328088, 48.81858639624608], [2.252129293684354, 48.818382347164054], [2.2518283757278605, 48.81828243137776], [2.251690024682576, 48.81824289133843], [2.251237086962613, 48.818106945767276], [2.251131291145529, 48.818076603363274], [2.250975379565835, 48.81802705974317], [2.250866796125116, 48.81800119656066], [2.2508179910429944, 48.817985601300336], [2.2507500678798054, 48.81797348329455], [2.250663092468458, 48.817960347106016], [2.250487754534423, 48.8179358632799], [2.250315231649364, 48.81790510211883], [2.250168452917069, 48.81788349579583], [2.2500202614905747, 48.81786547745371], [2.2499351540820935, 48.81785594758685], [2.249837970854634, 48.817848888500556], [2.2496230054716038, 48.817838919207674], [2.2493823999487144, 48.81783488955396], [2.2492977248894426, 48.81783251274158], [2.249212464493135, 48.81782338964264], [2.2490979981533283, 48.81781550296731], [2.248947300900068, 48.81782088405621]], ""type"": ""LineString""}";48.819149892665116, 2.254580941192676
Boulogne-Billancourt;92012;Réseau départemental non classé à grande circulation;RD907;118 route de la Reine;50 km/h;Comptage automatique en section;Tubes;Novembre;2021;Annuelle;Boulogne-Billancourt;Province;Boulogne-Billancourt;Paris;7034.0;7595.0;7311.0;7719.0;414.0;08h00-09h00;600.0;08h00-09h00;533.0;18h00-19h00;423.0;18h00-19h00;3.14;3.31;14629.0;850.7918099859994;"{""coordinates"": [[2.240040534762954, 48.8396952939957], [2.2397635905601536, 48.83971961564474], [2.2374593071212896, 48.83992529597005], [2.2357389254920372, 48.84007890330145], [2.2354319658257493, 48.84010572120718], [2.233914938973656, 48.84023541923175], [2.2327497735441635, 48.8403421718288], [2.2316119714682463, 48.84044099506848], [2.229389090666909, 48.840636987989676], [2.22855360934867, 48.84071885626081]], ""type"": ""LineString""}";48.84020435283065, 2.234296813679826
Clichy, Levallois-Perret;92024, 92044;Réseau départemental non classé à grande circulation;RD1;50 quai Charles Pasqua;50 km/h;Comptage automatique en section;Tubes;Novembre;2021;Annuelle;Levallois-Perret;Clichy;Levallois-Perret;Neuilly-sur-Seine;15360.0;12195.0;17193.0;13650.0;679.0;08h00-09h00;1131.0;08h00-09h00;1345.0;18h00-19h00;918.0;18h00-19h00;6.93;5.83;27555.0;940.8768044801304;"{""coordinates"": [[2.278741347645017, 48.89897426328926], [2.2792685444945016, 48.89915612088223], [2.280917592893654, 48.89971231853283], [2.2819237003056676, 48.90007314149946], [2.283456767942344, 48.900596788477415], [2.2840644322461463, 48.90080964612799], [2.284389268893502, 48.90093539918548], [2.2848965819527867, 48.90117293050436], [2.285415681034223, 48.901433827204954], [2.286060676916845, 48.901761438533235], [2.286504493955464, 48.90198291155938], [2.2874822076430315, 48.9023872924584], [2.2883024474390576, 48.90270546116113], [2.288840776457015, 48.90293372801963], [2.2893660189434804, 48.903159933932606], [2.28972003250442, 48.90332191859261]], ""type"": ""LineString""}";48.90104165459964, 2.2842726551947212
Bagneux;92007;Réseau départemental non classé à grande circulation;RD77A;35 avenue Henri Barbusse;50 km/h;Comptage automatique en section;Tubes;Septembre;2023;Triennale;Paris;Province;Province;Paris;1596.0;2219.0;1674.0;2390.0;119.0;08h00-09h00;210.0;08h00-09h00;164.0;18h00-19h00;192.0;17h00-18h00;4.75;4.17;3815.0;643.232518745517;"{""coordinates"": [[2.308965235718163, 48.79839263073592], [2.3087298461695287, 48.79827974419395], [2.30862025912894, 48.79822784398306], [2.3079302865713505, 48.797900065887575], [2.307727345502215, 48.7978044538883], [2.3075045181410934, 48.79770783582926], [2.307212037875798, 48.79757849124126], [2.3070454239952536, 48.7975156199434], [2.3068266543793223, 48.79744767356708], [2.3066795355493412, 48.79740752430044], [2.3065484436395414, 48.797380558793826], [2.306372218254013, 48.79736164860979], [2.30619371485347, 48.79734082049244], [2.3056930812102023, 48.797287827324844], [2.3050614274148242, 48.79721336467104], [2.304464565865091, 48.797141463616484], [2.303759189370877, 48.79704867397464], [2.3035701141979286, 48.79702270631779], [2.303127387296395, 48.796972755409165], [2.3028894414632792, 48.79695068206726], [2.3028160283890147, 48.79694305810884], [2.3025955389103956, 48.79693907332719], [2.3023095141622116, 48.7969490967926], [2.302088724073373, 48.79696759458071], [2.3018826060643467, 48.79700866285806], [2.3017293967983736, 48.79706353074986], [2.3016486834542387, 48.79709273923376], [2.3014921133091413, 48.79719525605079], [2.30115149096178, 48.797419015307945], [2.301078934040102, 48.79744917054606], [2.3009988022527943, 48.79748121684419]], ""type"": ""LineString""}";48.797363870517046, 2.305000713602834
Rueil-Malmaison;92063;Réseau départemental non classé à grande circulation;RD991;43 avenue de Colmar;50 km/h;Comptage automatique en section;Tubes;Mars;2023;Triennale;Paris;Province;Province;Paris;4085.0;4006.0;4341.0;4288.0;288.0;08h00-09h00;466.0;08h00-09h00;430.0;17h00-18h00;306.0;18h00-19h00;3.43;4.85;8091.0;1387.0578911575376;"{""coordinates"": [[2.1853175011976167, 48.88762595942902], [2.184729667938413, 48.88755948112729], [2.182979033422141, 48.88741996287583], [2.181067055242252, 48.88726146315384], [2.1790970921938766, 48.887097045567344], [2.1779152546482665, 48.88700125967969], [2.176155167280298, 48.886859378151605], [2.1744961746054337, 48.88672156092262], [2.173746943855352, 48.886664416358336], [2.1733298765663864, 48.886644166177916], [2.1728771534248645, 48.886637344565976], [2.1723704043916348, 48.886651786353625], [2.1715762553341826, 48.88671543697691], [2.1710398088739415, 48.886793486830435], [2.1703767886185377, 48.88691155947229], [2.169599830701423, 48.88706665462493], [2.167989680219596, 48.88736969752878], [2.167388063573344, 48.88747613838065], [2.1670812645061397, 48.88753764135627], [2.166687205142007, 48.887607805741986]], ""type"": ""LineString""}";48.88708519408812, 2.1759796796425617
Bagneux, Bourg-la-Reine, Sceaux;92007, 92014, 92071;Réseau départemental non classé à grande circulation;RD74;3 rue de Fontenay;50 km/h;Comptage automatique en section;Tubes;Novembre;2018;Triennale;Département 94;Fontenay-aux-Roses;Fontenay-aux-Roses;Département 94;5031.0;5492.0;5755.0;6203.0;483.0;08h00-09h00;450.0;08h00-09h00;451.0;17h00-18h00;481.0;18h00-19h00;;;10523.0;592.0794605062084;"{""coordinates"": [[2.3165682810195323, 48.782406882021114], [2.316080552451214, 48.78267054172764], [2.3156888687835155, 48.78285627604396], [2.3151711412745697, 48.78310514609682], [2.3144546449235563, 48.78346170224212], [2.3139970107048575, 48.78369382196405], [2.313847639818381, 48.7837712131618], [2.3130814804509474, 48.78417694422855], [2.3130156582112007, 48.78421434100405], [2.312856746102087, 48.784292575010255], [2.3127909824164212, 48.78432547529445], [2.312560838976846, 48.7844383769156], [2.3124868852180023, 48.78447302850132], [2.3124061038578305, 48.7845094396582], [2.3121788941878485, 48.78460616811133], [2.3120380872284336, 48.784653026101765], [2.311919197483166, 48.784689217689], [2.311781231035322, 48.784727098052144], [2.3116747325693754, 48.784752567010216], [2.311569677143539, 48.78477174911726], [2.311490540837174, 48.784786583465014], [2.311321389563164, 48.78481528923781], [2.3111836131044092, 48.78483877874021], [2.311124996398726, 48.7848456363893], [2.310900093809591, 48.78487042243293], [2.3106140901122054, 48.7848840627591], [2.309768885573935, 48.784882780996064], [2.3097042000772516, 48.784896464345394]], ""type"": ""LineString""}";48.783955008901536, 2.3132189966029215
Nanterre;92050;Réseau départemental non classé à grande circulation;RD991;souterrain place de La Boule RD991;50;Comptage automatique en section;Tubes;Juin;2018;Triennale;Puteaux;Rueil-Malmaison;Rueil-Malmaison;Puteaux;4833.0;;5276.0;;398.0;09h00-10h00;;;600.0;18h00-19h00;;;;;4833.0;383.36144029596375;"{""coordinates"": [[2.2018796246737633, 48.88704787397206], [2.2016895191318873, 48.88709983379927], [2.20107710578982, 48.8871435408198], [2.2007045071968117, 48.88716263835652], [2.2003469771569204, 48.88717733904669], [2.199955012283182, 48.887214291914255], [2.1994888326584183, 48.88729011147351], [2.1972867221188186, 48.88770725902923], [2.1969285632090787, 48.88777665818911], [2.196795065977618, 48.887779628156565]], ""type"": ""LineString""}";48.88736826807774, 2.1993321036021123
Nanterre;92050;Réseau départemental classé à grande circulation;RD986;232 avenue de la République;50 km/h;Comptage automatique en section;Tubes;Mars;2018;Annuelle;Rueil Malmaison;Colombes;;;6716.0;;6776.0;;620.0;08h00-09h00;;;590.0;17h00-18h00;;;;;6716.0;654.1986796515832;"{""coordinates"": [[2.206147235857078, 48.90299656633084], [2.206637500491536, 48.9033199759174], [2.2081651279844774, 48.904322942721194], [2.2085245920018766, 48.90454745231578], [2.20872175077799, 48.90468005621022], [2.209459311534359, 48.905160670134535], [2.2102778594475083, 48.90569937085809], [2.210629825829832, 48.90587975728697], [2.211687122797078, 48.90659988472732], [2.2117028385088737, 48.906643156156385], [2.2119989275988368, 48.90682047215356], [2.2124739150686556, 48.90713258454967]], ""type"": ""LineString""}";48.9050632324102, 2.209316244871326
Châtenay-Malabry, Le Plessis-Robinson;92019, 92060;Réseau départemental non classé à grande circulation;RD75;33 avenue Léon Blum;50 km/h;Comptage automatique en section;Tubes;Novembre;2018;Triennale;Fontenay aux Roses;Châtenay-Malabry;Châtenay-Malabry;Fontenay aux Roses;4231.0;5018.0;4561.0;5373.0;414.0;08h00-09h00;371.0;08h00-09h00;290.0;17h00-18h00;461.0;18h00-19h00;;;9249.0;2149.699571834148;"{""coordinates"": [[2.268897501010506, 48.78341828728208], [2.2684401211198884, 48.783326445228056], [2.268339704386639, 48.783305144077076], [2.2680328436540935, 48.78325289676651], [2.267709792934805, 48.783190656196176], [2.2673853179100525, 48.78313290326763], [2.266804353580243, 48.7830223091457], [2.266652451057283, 48.78298450041083], [2.2664547702114066, 48.78291133357326], [2.266326091044798, 48.782867371864356], [2.2661999694751933, 48.7828351178735], [2.2661185821284993, 48.78281572962439], [2.2659435196844955, 48.782779576973226], [2.2656219352551603, 48.78271014507626], [2.2653219625680885, 48.78265253662621], [2.2651349436239787, 48.782595622153686], [2.2649738089872766, 48.78253706890784], [2.2646896808126544, 48.7824174961452], [2.2645747795269426, 48.782361924621405], [2.264438331226756, 48.782290030336206], [2.2643209986906485, 48.78221375707264], [2.2642389359680783, 48.78214579563964], [2.2641531455650274, 48.78205262671129], [2.263986118483474, 48.78183303923771], [2.263904565208768, 48.781733769101876], [2.263743616785623, 48.781512869385125], [2.2636608725956444, 48.78139151782145], [2.263583743993694, 48.781273950680074], [2.2634015041605915, 48.78092075466897], [2.2633652563357907, 48.78081463290968], [2.2632526932781074, 48.78056933042455], [2.263172846370098, 48.78044112064171], [2.2630898456289996, 48.78034347112219], [2.262948775015685, 48.78021398342973], [2.262695403249125, 48.78003793226791], [2.2623502916666376, 48.77988093501156], [2.2620783559425712, 48.779764970156506], [2.261556644330257, 48.77955916763886], [2.2609288841154878, 48.7792543572847], [2.2606862087479067, 48.779117590137034], [2.260205276820193, 48.778769461027366], [2.2587033372296554, 48.777728543197085], [2.2571100936901454, 48.77662063459679], [2.256408508474356, 48.776104316034456], [2.256206720673464, 48.775945960487775], [2.255879724175064, 48.77574277117241], [2.255410399892393, 48.77542356937592], [2.254653273597405, 48.774894347279776], [2.254206155933644, 48.77458689785088], [2.254168442177865, 48.77455967963846], [2.2538801868507834, 48.7743528103936], [2.2532886411040853, 48.77394437252424], [2.2527024949181627, 48.77353956226491], [2.2524316946622283, 48.77334988782267], [2.252008640346349, 48.7730549253306], [2.2513241753382895, 48.772598551642574], [2.2512544058180826, 48.77253355219703], [2.2511747546459273, 48.77244308611278], [2.2511187486684636, 48.772408693994144], [2.2510394181657, 48.7723691520514], [2.2509026669702212, 48.77228747508123], [2.2491691241679903, 48.77107902413122], [2.248924028206887, 48.770930841628456], [2.248629566052421, 48.77079411442975], [2.248167550688549, 48.77047824239897]], ""type"": ""LineString""}";48.77744526620017, 2.2584050013883403
La Garenne-Colombes;92035;Réseau départemental non classé à grande circulation;RD106;100 avenue du Général de Gaulle;50 km/h;Tournant;Tubes;Mars;2015;Triennale;Paris;Province;Province;Paris;7600.0;7875.0;7674.0;8227.0;355.0;11h00-12h00;653.0;09h00-10h00;672.0;19h00-20h00;481.0;18h00-19h00;;;15475.0;651.8876650888088;"{""coordinates"": [[2.255876242493863, 48.905374945078755], [2.2558450404190347, 48.90548277251953], [2.255790495987038, 48.90557710746079], [2.255771785563564, 48.905645339628826], [2.2557349971417313, 48.90602372475747], [2.255700010669466, 48.90637154500275], [2.255602202042847, 48.90739166459964], [2.255535774003615, 48.90783911309343], [2.2554906173070415, 48.90813470781812], [2.2552691606655366, 48.90892832859159], [2.255074325328495, 48.90957732456578], [2.255061390418942, 48.90962310877969], [2.2548983904389717, 48.91023992619182], [2.2547306761727555, 48.91080455321543], [2.254625884516914, 48.91116722520359]], ""type"": ""LineString""}";48.9082863130986, 2.255343677110519
Nanterre, Rueil-Malmaison;92050, 92063;Réseau départemental classé à grande circulation;RD986;avenue Henri Martin;50 km/h;Comptage automatique en section;Tubes;Mars;2019;Annuelle;Rueil Malmaison;Colombes;;;9596.0;;11995.0;;1107.0;09h00-10h00;;;924.0;18h00-19h00;;;;;9596.0;1567.2341322619875;"{""coordinates"": [[2.1768724514033986, 48.891328812977015], [2.176936289770127, 48.89134543966039], [2.1771345982572465, 48.891397165847785], [2.1773517992405225, 48.89146161215328], [2.1774904160376156, 48.89149314171871], [2.177558246651953, 48.8915160920042], [2.177652002956775, 48.891538320003605], [2.1776927577754304, 48.89154849223883], [2.177891266428121, 48.891587627685766], [2.1779918980056725, 48.89160630531748], [2.1782640043383763, 48.8916486429539], [2.178925018438926, 48.891764695692906], [2.179600951013349, 48.89188624340754], [2.1799519175823785, 48.89194440628465], [2.180048530351241, 48.891958557647875], [2.1801846207277764, 48.89197747690084], [2.180508553131519, 48.89202016386132], [2.1808230254386545, 48.89205739011225], [2.18111047722362, 48.89207824226729], [2.1814376060880973, 48.892091270915], [2.181753809093463, 48.89210512392069], [2.1822610366948196, 48.89211398459337], [2.18327954100203, 48.89213442599398], [2.1834622402840886, 48.892138369633514], [2.1841440692561127, 48.892145715453715], [2.1850329339198087, 48.892170653689725], [2.185062908434373, 48.892172656472475], [2.185346341840416, 48.89218897465911], [2.185565468000294, 48.89221834450447], [2.185931317524683, 48.89228468578383], [2.1861557879473574, 48.89232128525572], [2.1864261895411965, 48.89238607690566], [2.186685570367941, 48.89245798752014], [2.1868077179510976, 48.89249658871268], [2.186940705456589, 48.89253976125861], [2.187104961511863, 48.892589440862814], [2.187270315161837, 48.89265621464145], [2.1874735457342154, 48.89274303121427], [2.187500638055025, 48.89275490671548], [2.1875467542103606, 48.892771406895456], [2.1877555666567488, 48.892850167346836], [2.188094039257121, 48.89301074608647], [2.188334994879958, 48.893127494754204], [2.1888206599529747, 48.89329536480398], [2.1890701942366655, 48.89338698889044], [2.189661553513449, 48.89359963800874], [2.189828417786796, 48.89365742523958], [2.1904440940550853, 48.89388552486946], [2.1907777262983505, 48.89400739152352], [2.1912198231742512, 48.89417135938656], [2.1918180883814538, 48.894379548166405], [2.1922479307799465, 48.89454253025528], [2.19255156918707, 48.894664190250175], [2.1926774968081246, 48.89472349566682], [2.1928091038397297, 48.89476845035201], [2.192882414335207, 48.89479052879403], [2.1930017618323405, 48.89483450156385], [2.1944624792615928, 48.895368649372436], [2.1946820139337087, 48.89546095866289], [2.1947606017450716, 48.895494762481405], [2.19487817116181, 48.89556570116419], [2.1951442186278114, 48.89573746359479], [2.1955249304359636, 48.89599183636669], [2.195874749460312, 48.89621542158926], [2.196094779853927, 48.89636439025246], [2.196194595443572, 48.89643700677516]], ""type"": ""LineString""}";48.89317684435669, 2.1867425785410273
